אתברי,נברא
אתבריאו,נבראו
אתבריר,התברר
אתבריתא,לֻקָּחְתָּ
אתגוללו,נִכְמְרוּ
אתגזר,נִמּוֹל
אתגזר,נימול
אתגזרו,נִמֹּלוּ
אתגלי,"הִתְגַּלָּה, נִרְאָה, נגלה"
אתגליף שמיא קדישא בסטרין ידיען,נחקק השם הקדוש בבחינות ידועות
אתגליפו,נחקקו
אתדכי,"אתטהר, נטהר"
אתהדר,חוזר
אתהדרו,"חוזרות, חזרו"
אתהן,אותן
אתהתך,הותכו
אתו,באו
אתו,"לְכוּ, בָּאוּ"
אתו,"באו, בואו, באים"
אתוב,"אָשׁוּב, אשוב, אָשׁוּב"
אתוון,אותיות
אתון,אתם
אתון,אַתֶּם
אתונא,כִּבְשָׁן
אתור,אַשּׁוּר
אתוראה,אַשּׁוּר
אתותב,"הוּשַׁב, גר (לשון מגורים)"
אתותבתא,גַּרְתָּה
אתחבלת,נשחתה (התקלקלה)
אתחוא,הוגד
אתחוה,הוגד
אתחזי,"הופיע, נראה"
אתחזיאו,נִרְאוּ
אתחסין,התאפק
אתחפיאו,כּוּסוּ
אתחשבנא,נֶחְשַׁבְנוּ
אתחת,הוּרַד
אתי,בָא
אתי,בָּא
אתי,בא
אתיא,"באה, בָּאָה"
אתיא,באה
אתיב,"הָשֵׁב, הֵשִׁיב, השיב (החזיר לבעליו), השיב, אמר, ענה, אָשִׁיב (אחזיר)"
אתיבו,השיבו (ענו)
אתיבנא,השבנו (החזרנו)
אתיבנך,אשיב אותך
אתיבת,השיבה (ענתה)
אתידע,"הודע, נודע"
אתידע,"נוֹדַע, הִתְוַדַּע"
אתיהיב,ניתַּן
אתיהיבת,נִתְּנָה
אתיו,בואו
אתיוהו,הביאוהו
אתיין,באות
אתיליד,"נולד, יֻלַּד (ילדו אותו)"
אתילידו,"יֻלְּדוּ (נולדו), יֻלַּד (נולדו), נולדו, שִׁרְצוּ"
אתילידת,יֻלְּדָה (נולדה)
אתין,"אַתֶּן, בָּאֹת, בָּאוֹת, אֹתֹת"
אתינא,בָּאנוּ
אתינא,באנו
אתית,אָבֹא
אתיתון,בָּאתֶם
אתכבישו,נָפְלוּ
אתכליל,נכלל
אתכלילו,"התכללו, נכללו"
אתכלתהא,אַשְׁכְּלֹתֶיהָ
אתכלתון,שִׁכַּלְתֶּם
אתכניש,נֶאֱסַף
אתכנש,נאסף
אתכנשהון,קְהָלָם
אתכנשו,"הֵאָסְפוּ, הִקָּבְצוּ, חָבְרוּ (התכנסו)"
אתכסיאת,התכסתה
אתמליאת,"מָלְאָה, התמלאה"
אתמר,נאמר
אתמר,נֶאֶמר
אתמשך,נמשך
אתמשכן,נמשכו
אתן,"בָּאוּ (בלשון נקבה), בָּאִים"
אתנגיד,גוע (עמד למות)
אתנח,הונח
אתנחם,התנחם
אתנינה,אֶתְּנֶנָּה
אתנית,נשנה (חזר על עצמו)
אתנן,אֲתֹנֹת
אתננה,אֶתְּנֶנָּה
אתננך,אתן אותך
אתנקיבו,התנקבו
אתעביד,נַעֲשה
אתעבידת,נעשתה
אתעבידת ארץ למעבד פירין ואיבין,נעשתה ארץ לעשות פירות ונשמות
אתעברו,נעברים
אתעכב,התמהמהה
אתעכבנא,הִתְמַהְמָהְנוּ
אתעלו,הוּבְאוּ
אתער,התעורר
אתער,"מתעורר, התעורר"
אתערית,התעוררתי
אתערנא,התעוררתי
אתפטרו,שֻׁלְּחוּ
אתפלג,נחלק
אתפליג,נחלק
אתפליגת,נִפְלְגָה
אתפסק,"נפסק, נפסקת"
אתפרע,אדע
אתפרש,נִפְרַד
אתפרש,הִפָּרֶד
אתפרשא,"יתפרדו, נפרד"
אתפרשו,נִפְרְדוּ
אתפתחא,נפקחו (נפתחו)
אתפתחו,נִפְתָּחוּ
אתקברת,נקברה
אתקטלא יתקטל,מות יומת
אתקימו,תחיו
אתקין,הָכֵן
אתקינו,הכינו
אתקיפו,החזיקוּ
אתקיפי,הַחֲזִיקִי
אתקף,"הפציר, התחזק"
אתר,מָקוֹם
אתר,מקום
אתרא,מקום
אתרא,מָּקוֹם
אתרה,"מְקֹמָהּ, מְקֹמוֹ"
אתרח,המתין
אתרי,מְקוֹמִי
אתריא,מקומות
אתריה,מקומו
אתריהון,מְקֹמֹתָם (המקומות שלהם)
אתרייהו,מקומם
אתרמי,הזדמן לו
אתרמת,התרוממה
אתרנא,מְקוֹמֵנוּ
אתרעי,חָפֵץ
אתרעיאת,חָשְׁקָה
אתת,"בָּאָה, אֵשֶׁת (האשה של)"
אתתא,אשה
אתתא,אִשָּׁה
אתתה,אִשְׁתּוֹ
אתתי,אִשְׁתִּי
אתתך,אִשְׁתֶּךָ
אדר',על [דבריו] של רבי
אפ',אפילו
"א""ד",(=אִיכָּא דְאָמְרֵי) יש אומרים
"א""כ",(=אם כן)
"א""ל",(=אמר לֵיהּ) אמר לו
"א""ר",אמר רבי
"א""ת",(=אי תימא) אם תאמר
"א""א","אי אפשר, אי אפשי - לא רוצה, אי אמרת-אם אמרת"
"א""ד","איכא דאמרי, יש אומרים ש..."
"א""ה",אומות העולם
"א""י",ארץ ישראל
"א""כ",אם כן
"א""ל",אמר ליה - אמר לו
"א""ס",אין סוף
"א""צ",אין צריך
"א""ת",אם תאמר
"אא""ב","(=אִי אמרת בשלמא) אם אתה אומר בשלום (נניח שמה שאתה אומר ... מתקבל על הדעת, אבל ...)"
"אא""ב",אי אמרת בשלמא (אם היית אומר נניח ש... עדיין אפשר להבין אבל ...)
"אא""כ",אלא אם כן
"אב""א","(=אי בעית אימא) אם רוצה אתה, אמור"
"אב""א",אי בעית אימא (אם תרצה תאמר)
"אב""ג",אותיות האלף בית כסדרן
"אב""ד",אב בית דין
"אב""י",אתרוג ביצים יין ישן (מפורש בגמרא יומא יח.)
"אבב""י",אתרוג ביצים יין ישן בשר-שמן (מפורש בגמרא יומא יח.)
"אבי""ע",אצילות בריאה יצירה עשיה (עולמות)
"אבע""א",אי בעית אימא (אם תרצה תאמר)
"אד""הר",אדם הראשון
"אד""ם",(ראה סוטה ה.)
"אדה""ר",אדם הראשון
"אדי""ש","(סימן, פסחים-דף קיט - א)"
"אדר""א",א דרבי אליעזר - [חולקים] על דעתו של ר' אליעזר
"אדר""ג",א דרבן גמליאל - [חולקים] על דעתו של רבן גמליאל
"אדר""י",א דרבי יוחנן - [חולקים] על דעתו של ר' יוחנן ( או - רבי יהודה \ רבי יוסי \ רב יוסף \ רבי יצחק)
"אדר""ל",א דריש לקיש - [חולקים] על דעתו של ריש לקיש (חכם בגמרא)
"אדר""מ",א דרבי מאיר - [חולקים] על דעתו של ר' מאיר
"אדר""ש",א דרבי שמעון - [חולקים] על דעתו של ר' שמעון
"אדרשב""ג",א דרבן שמעון בן גמליאל - [חולקים] על דעתו של רבן שמעון בן גמליאל
"אה""נ","(=אִין הָכִי נַמֵּי) כן, כך גם כן"
"אה""נ",אין הכי נמי - זה אותו דבר
"או""ה",אומות העולם
"אוה""ב","(סימן, ראה בבא מציעא-דף לב - ב)"
"אוה""ע",אומות העולם
"אח""כ",אחר כך
"אח""ס","(סימן, ראה שבת-דף קד - א)"
"איבע""א",(=אי בעית אימא) אם רוצה אתה
"איבע""א",אי בעית אימא - אם תרצה תאמר (אפשר לומר)
"איזמ""ל","(סימן, ראה חולין-דף ד - א)"
"איק""א","(סימן, ראה עירובין-דף סג - א)"
"אכ""ע",א כולי עלמא - על כל העולם
"אכי""ר",אמן כן יהי רצון
"אמ""ה",אי משום הכי - אם בגלל זה
"אמ""ת",(סימן)
"אמרר""ל",אמר ריש לקיש
"אסנ""ת",[בני] אנוסה [בני] שנואה [בני] נידוי [בני] תמורה
"אע""ג",אף על גב
"אע""ה",אבינו עליו השלום
"אע""ז",אעבודה זרה-על עבודה זרה
"אע""פ",אף על פי
"אעפ""י",אף על פי
"אעפ""כ",אף על פי כן
"אפ""ה",(=אפילו הַכִי) אפילו כך
"אפ""ה","אפילו הכי - אפילו כך, בכל זאת ..."
"אקב""ו",אשר קדשנו במצוותיו וציוונו
"אר""י","אמר רבי יהודה, אמר רבי יהושע, אמר רבי יוחנן, אמר רבי יוסי, אמר רב יוסף"
"אר""א",אמר רבי אלעזר
"אר""ג",אמר רבן גמליאל
"אר""ח",אמר רבי חנינא
"אר""י",אמר רבי יוחנן ( או - רבי יהודה \ רבי יוסי \ רב יוסף \ רבי יצחק)
"אר""ל",אמר ריש לקיש
"אר""מ",אמר רבי מאיר
"אר""נ",אמר רב נחמן
"אר""ע",אמר רבי עקיבא
"אר""פ",אמר רב פפא
"אר""ש",אמר רבי שמעון
"ארבב""ח",אמר רבה בר בר חנה
"אריב""ל",אמר רבי יהושע בן לוי
"ארשב""ג",אמר רבן שמעון בן גמליאל
"ארשב""ל",אמר רבי שמעון בן לקיש
"אש""ה","(סימן, ראה יבמות-דף סג - א)"
"אשב""נ","(סימן, ראה מנחות-דף כ - א)"
"את""ל","(=אם תימצי לומר) אם תשיב לשאלה הקודמת באופן זה..., יש מקום לשאול..., (=אם תמצי לומר) אם תדקדק בדבר, תמצא ש..."
"את""ל",אם תרצה לומר
באבא,פתח
באגה,בקעה
באיש,היה רע בעניו
באישא,חולה
באנפי,בִּפְנֵי
באנפי נפשיה,בפני עצמו
באפאי,בפני
באפי,בִּפְנֵי
באפי,בְּעַד
באפי נפשה,בפני עצמה
באפי נפשיה,בפני עצמו
באפיה,"בפניו, בּאַפִּיו"
באפייהו,בפניהם
באפך,בפָנֶיךָ
בארא,בְּאֵר
בבא,פתח
בבא,"פתח, שער"
בבהילו,בחיפזון
בבי,פתחים
בביתא,בַּבָּיִת
בבעו,אָנָּא
בברא,בַּחוּץ
בגו,בתוך
בגו,"בְּתוֹךְ, בְּקֶרֶב"
בגוה,"בְּקִרְבָּהּ, בְּתוֹכָהּ"
בגווייהו,"בהם, בתוכם"
בגין,בגלל
בגין,משום
בדא,זֹאת
בדח,שָֹמֵח
בדחילו ורחימו,ביראה ואהבה
בדי,ענפים
בדידי,לעצמי
בדידי הוה עובדא,לי היה המעשה
בדיל,בשביל
בדיל,"בַּאֲשֶׁר, בַּעֲבוּר, לְבִלְתִּי, בִּגְלַל, לְמַעַן"
בדילה,בַּעֲבוּרָהּ
בדילהון,בַּעֲבוּרָם
בדילך,"בַעֲבוּרֵךְ, בִּגְלָלֶךָ, בְךָ, בַּעֲבוּרֶךָ"
בדיעבד,לאחר שכבר נעשה (במקרה זה לפעמים הדין שונה)
בדלחא,בְּדֹלַח
בדר,הפיץ
בדר,פיזר
בדתקין,בַּטּוֹב
בה,בּוֹ
בהדי הדדי,יחד
בהדיא,בצורה מפורשת
בהו,בהם
בהון,בהם
בהון,"בָּהֶם, בָּהֵן, בָּם"
בהן,בָּהֵן
בודיתא,מחצלת
בוכיא,עכביש
בוכרא,בכור
בוכרא,בְּכוֹר
בוכרה,בְּכוֹרוֹ
בוכרי,בְּכֹרִי
בוכרך,בְכֹרְךָ
בוץ,שֵׁשׁ
בוצינא,נר
בוצינא קדישא,"כינויו של רבי שמעון בר יוחאי, המאור הקדוש"
בוצינין,נרות
בורגנין,שומרי העיר
בורלא,שֹּׁהַם
בזו,לָקָחוּ (בזזו)
בזוזי,בוזזים
בזע,קרע
בחירתא,"מסכת עדיות קרי בחירתא שהלכה כאותן עדיות (רש""י)"
בטולי,"בטל, חסר חשיבות"
בטנין,בָּטְנִים
בטש,בעט
בטשה,בעטה
בי,"בֵּית, בית מדרש"
בי,בית
בי טמיא,בית הטמא-בית האבל
בי כוי,חלונות
בי כנישתא,בית כנסת
בי מדרשא,בית המדרש
בי שבבי,בין השמשות (בחשכותא דשמשי)
בי שמשי,בין השמשות
בי תפי,מקום שפיתת הקדירה בכירה
בידא,בְּיַד
בידה,"בְּיָדָהּ, בְּיָדוֹ"
בידיהון,בְיָדָם
בידכון,בְּיֶדְכֶם
בידנא,בְיָדֵנוּ
ביה,בו
ביה,"בו, בתוכו"
ביזרני,זרעים
ביטשא,"דריסה, בעיטה"
בילה,בלילה-תערובת
ביממא,בַּיּוֹם
בינא,בֵּינִי
בינוהי,בֵּינוֹ
ביני,בין
ביני ביני,"מה שבניהם, בינתים"
ביניהו,[ההבדל] בניהם
ביניהון,"בְּקִרְבּוֹ, בניהם"
בינייהו,בניהם
בינייהו,ביניהם
ביניכון,"בֵינֵיכֶם, בְּתוֹכְכֶם"
ביניתא,"דג, שערה"
בינך,בֵינֶךָ
בינכון,בֵינֵיכֶם
ביננא,"בְּתוֹכֵנוּ, בֵּינֵינוּ, בֵינֵינוּ"
ביעא דקושטא,ביצה של אמת
ביעי,ביצים
ביעתא,ביצה
ביעתותא,"הבהלות פתאום שאדם רואה או שומע נבהל (רש""י)"
ביעתותא,פחד
בירא,בְּאֵר
בירין,בְּאֵרֹת
בירתא,עיר בירה
ביש,רָע
ביש,רע
ביש גדא,מזל רע
בישא,רע
בישא,"רָע, רָעָה, רָעוֹת"
בישו,"רָע, רֹעַ"
בישין,רָעִים
בישין,רָעים
בישן,רָעוֹת
בישת,רָעַת
בישתא,"רָעָה, רָעוֹת"
ביתא,בָּיִת
ביתא,בית
ביתה,בֵּיתוֹ
ביתו,לָנוּ (ישנו)
ביתיה,ביתו
בכא,בכה
בכדי,בחינם
בכדי,"בלא כלום, בחינם"
בכולא אתנא עמיה,בכולם הִתְנָה עימהם
בכי,בכה
בכיא,בכתה
בכירותי,בְּכֹרָתִי
בכירי,בְּכֹרוֹת
בכן,אָז
בכרה,בְּכֹרוֹ (הבכור שלו)
בכרותא,בְּכֹרָה
בכרותה,בְּכֹרָתוֹ
בכרותך,בְּכֹרָתְךָ
בכרן,בְּעֶצֶם
בכת,בכתה
בלאו הכי,[גם] בלי זה
בלחודוהי,לְבַדּוֹ
בלחודיהון,לְבַדָּם
בלחודיהן,"לְבַדְּהֶן, לְבַדָּנָה"
בלחודייהו,"בלבדם, בלבד"
בליתא,חתיכת בגד ישנה קשה ויפה לקנח
בלעא,בלעוּ
בלען,בלעו (לשון נקבה)
בלש,חיפש
במאי,במה
במאי עסקינן,במה אנו עוסקים
במהויהון,בִּהְיוֹתָם
במטותא,בבקשה
במטלהון,בְּנָסְעָם
במטללתא,סוכה
במיתה,בְּבֹאוֹ
במערבא,בארץ ישראל (שהיא ממערב בבל)
במערקה,בְּבָרְחוֹ
במפק,בְּצֵאת
במפקה,בְּצֵאתוֹ
במציעות,בְּתוֹךְ
במתי,בְּבוֹא
בנא,"בנה, בָּנוּ (איתנו)"
בנגידא,באוב
בנהא,ילָדֶיהָ
בנהה,זַרְעָהּ
בנוהי,"זַרְעוֹ, בָנָיו, יְלָדָיו"
בני פירקי,בני ישיבה
בניח,לְאִטִּי
בניכי,זַרְעֵךְ
בנין,בנים
בנין,"זָרַע, בָנִים"
בנך,זַרְעֶךָ
בנן,"בָנוֹת, בָּנִים"
בננא,בָנֵינוּ
בנת,בְּנוֹת
בנתא,בָנוֹת
בנתה,בְנוֹתָיו
בנתיהון,בְּנֹתָם
בנתיכון,בְּנֹתֵיכֶם
בנתך,בְנֹתֶיךָ
בנתנא,בְּנֹתֵינוּ
בסימא,נעימה
בסעדי,בעזרי
בסעדכון,עִמָּכֶם (בעזרכם)
בסרא,בָּשָׂר
בסרי,בְּשָׂרִי
בסרנא,בְשָׂרֵנוּ
בעא,ביקש
בעא,"רצה, ביקש, שאל"
בעא,"בקש, שאל, רצה"
בעגלא,"במהרה, בקרוב"
בעדן,בְּעֵת
בעדנא,בָּעֵת
בעו,"שאלוּ, בקשוּ, שואלים, מבקשים, צריכים"
בעובדה דלתתא אתער דלעילא,במעשה שלמטה מתעורר מעשה למעלה
בעי,מְבַקֵּשׁ
בעי,"שאַל, שואל, מבקש, רוצה, דורש, צריך, שאלתי"
בעי,"בקש, שאל, רצה"
בעיא,שאלה
בעינא,אני שואל
בעינהה,בְּעֵינֶיהָ
בעינוהי,בְעֵינָיו
בעינייהו,בעיניים שלהם
בעיניכון,בְּעֵינֵיכֶם
בעיר,בְּהֵמָה
בעירא,בְּהֵמָה
בעירה,מִקְנֵהוּ
בעירהון,בְּהֶמְתָּם
בעירי,בהמות
בעירי דכיא,בהמה הטהורה
בעירך,מִקְנְךָ
בעית,"אתה רוצה, אתה מבקש, אתה צריך, אתה חייב, ביקשת רצית"
